county,year,Total farm production expenditures,Average per farm,Fertilizer lime and soil conditioners purchased,Chemicals purchased,Seeds plants vines and trees purchased,Livestock and poultry purchased or leased,Breeding livestock purchased or leased,Other livestock and poultry purchased or leased,Feed purchased,Gasoline fuels and oils purchased,Utilities,Repairs supplies and maintenance cost,Hired farm labor,Contract labor,Customwork and custom hauling,Cash rent for land buildings and grazing fees,Rent and lease expenses for machinery equipment and farm share of vehicles,Interest expense,Property taxes paid,All other production expenses,Depreciation expenses claimed
Riverside S,2007,825129.0,238270.0,1615.0,1441.0,684.0,392.0,5979.0,,1397.0,29347.0,49972.0,59002.0,159307.0,78711.0,16349.0,404.0,4134.0,36301.0,23099.0,81359.0,43316.0
San Benito,2002,163961.0,240765.0,7684.0,11723.0,6995.0,5678.0,447.0,,9956.0,4415.0,7121.0,12501.0,36159.0,14742.0,2472.0,9672.0,3484.0,5163.0,4349.0,34214.0,10481.0
San Benito,2007,167096.0,267354.0,275.0,292.0,248.0,108.0,1523.0,,343.0,7002.0,6454.0,9093.0,38951.0,13056.0,1387.0,158.0,2040.0,5947.0,4953.0,26506.0,14475.0
San Bernardino,2002,508431.0,367895.0,3929.0,3408.0,12253.0,37370.0,11615.0,,265628.0,6927.0,16507.0,34925.0,80097.0,10365.0,11353.0,10261.0,3630.0,17101.0,5769.0,50250.0,43857.0
San Bernardino,2007,549885.0,391377.0,655.0,611.0,405.0,227.0,10071.0,,666.0,11856.0,16393.0,30107.0,78626.0,7245.0,9151.0,273.0,1530.0,15357.0,6360.0,40410.0,33468.0
San Diego Sa,2002,694712.0,132024.0,26582.0,19081.0,96597.0,6102.0,1019.0,,45189.0,18910.0,40718.0,57453.0,251101.0,18541.0,7529.0,20463.0,5320.0,24207.0,21864.0,81478.0,46573.0
San Diego Sa,2007,869784.0,130071.0,3983.0,2860.0,1930.0,269.0,1757.0,,994.0,28845.0,67513.0,68793.0,281127.0,34547.0,4180.0,416.0,4990.0,32603.0,28738.0,104435.0,45942.0
San Joaquin L,2002,983115.0,244010.0,58925.0,62061.0,36313.0,26537.0,6331.0,,218553.0,30053.0,44062.0,79901.0,209676.0,71208.0,35599.0,45274.0,13259.0,52719.0,30342.0,105214.0,83240.0
San Joaquin L,2007,1215671.0,335450.0,3007.0,2976.0,1999.0,468.0,5605.0,,1036.0,55915.0,45758.0,86600.0,222320.0,107888.0,52978.0,674.0,10624.0,56595.0,31645.0,97684.0,102066.0
San Mateo Sa,2002,137491.0,449317.0,2870.0,2372.0,15952.0,890.0,37.0,,1897.0,5587.0,4853.0,7665.0,54907.0,2731.0,1385.0,2841.0,577.0,3332.0,2749.0,10805.0,24179.0
San Mateo Sa,2007,111675.0,339439.0,120.0,128.0,110.0,39.0,395.0,,122.0,5724.0,4143.0,8370.0,44680.0,3444.0,836.0,96.0,414.0,2090.0,2286.0,12869.0,4714.0
San uis Obispo,2002,356844.0,153284.0,20732.0,25985.0,48395.0,5920.0,892.0,,11315.0,11207.0,15528.0,43172.0,73533.0,52557.0,5280.0,21238.0,2487.0,15826.0,14318.0,36046.0,31883.0
San uis Obispo,2007,517763.0,185978.0,1254.0,1166.0,934.0,298.0,1757.0,,936.0,23182.0,15573.0,38080.0,103537.0,71817.0,12570.0,339.0,4023.0,26660.0,20325.0,68412.0,47079.0
Santa Cruz,2002,278162.0,366002.0,13919.0,21678.0,25570.0,2533.0,356.0,,2045.0,7122.0,9444.0,24911.0,109219.0,29542.0,2960.0,9642.0,1985.0,3709.0,2974.0,28024.0,16407.0
Santa Cruz,2007,326508.0,478751.0,516.0,496.0,447.0,71.0,147.0,,129.0,12623.0,11512.0,19666.0,146599.0,15380.0,2008.0,174.0,2128.0,7864.0,4339.0,29001.0,12458.0
Shasta,2002,28715.0,25593.0,1806.0,1071.0,600.0,2941.0,767.0,,8228.0,1836.0,1861.0,5195.0,3875.0,406.0,376.0,2414.0,127.0,2347.0,2386.0,3169.0,3363.0
Shasta,2007,54304.0,36867.0,356.0,303.0,232.0,297.0,1096.0,,769.0,3660.0,2471.0,5859.0,8390.0,1538.0,715.0,190.0,305.0,3623.0,5208.0,5475.0,6835.0
Sierra,2002,3013.0,55801.0,64.0,13.0,,,,,,103.0,127.0,360.0,,,93.0,262.0,,,210.0,375.0,180.0
Sierra,2007,1960.0,39200.0,14.0,10.0,12.0,19.0,61.0,,39.0,244.0,155.0,173.0,268.0,70.0,16.0,12.0,,296.0,269.0,139.0,242.0
Siskiyou,2002,85372.0,107386.0,10852.0,8715.0,3530.0,3157.0,650.0,,6119.0,3841.0,5589.0,7879.0,23621.0,1054.0,2026.0,9474.0,909.0,4313.0,3167.0,7141.0,7445.0
Siskiyou,2007,138844.0,164119.0,329.0,250.0,290.0,151.0,1426.0,,445.0,9386.0,8213.0,11105.0,33797.0,7547.0,4074.0,187.0,2858.0,7021.0,3907.0,9090.0,11751.0
Solano,2002,172277.0,188694.0,13459.0,10355.0,7251.0,7724.0,2345.0,,14105.0,6964.0,7382.0,15225.0,36463.0,11023.0,6667.0,9203.0,2436.0,6895.0,5729.0,18752.0,10943.0
Solano,2007,194960.0,219057.0,491.0,511.0,250.0,196.0,1196.0,,383.0,11771.0,8702.0,15662.0,40145.0,16513.0,6686.0,199.0,1686.0,9014.0,5939.0,16745.0,13963.0
Sonoma,2002,451134.0,130839.0,12381.0,15746.0,12994.0,12306.0,1158.0,,109369.0,8394.0,13361.0,34134.0,125212.0,44543.0,11398.0,15077.0,4106.0,36988.0,24787.0,45995.0,47953.0
Sonoma,2007,587568.0,171353.0,2205.0,1904.0,1421.0,376.0,2283.0,,1201.0,16918.0,12915.0,33692.0,153613.0,58611.0,13078.0,473.0,3021.0,39555.0,30409.0,47881.0,81339.0
Stanislaus,2002,1005710.0,235640.0,56217.0,56623.0,19981.0,83697.0,13867.0,,433955.0,23308.0,34821.0,69968.0,167804.0,58108.0,41651.0,49077.0,8155.0,48657.0,25818.0,87984.0,69877.0
