state_alpha,county_name,county_ansi,state_fips_code,year,commodity_desc,short_desc,value
SD,CORSON,031,46,2007,AG SERVICES,"AG SERVICES, CUSTOMWORK - EXPENSE, MEASURED IN $",961000
SD,CORSON,031,46,2007,AG SERVICES,"AG SERVICES, MACHINERY RENTAL - EXPENSE, MEASURED IN $",223000
SD,CORSON,031,46,2007,AG SERVICES,"AG SERVICES, OTHER - EXPENSE, MEASURED IN $",3462000
SD,CORSON,031,46,2007,AG SERVICES,"AG SERVICES, UTILITIES - EXPENSE, MEASURED IN $",977000
SD,CORSON,031,46,2007,ANIMAL TOTALS,"ANIMAL TOTALS - EXPENSE, MEASURED IN $",NA
SD,CORSON,031,46,2007,ANIMAL TOTALS,"ANIMAL TOTALS, (EXCL BREEDING) - EXPENSE, MEASURED IN $",NA
SD,CORSON,031,46,2007,ANIMAL TOTALS,"ANIMAL TOTALS, BREEDING - EXPENSE, MEASURED IN $",3814000
SD,CORSON,031,46,2007,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",2373000
SD,CORSON,031,46,2007,DEPRECIATION,"DEPRECIATION - EXPENSE, MEASURED IN $",8208000
SD,CORSON,031,46,2007,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",46422000
SD,CORSON,031,46,2007,FEED,"FEED - EXPENSE, MEASURED IN $",NA
SD,CORSON,031,46,2007,FERTILIZER TOTALS,"FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $",4775000
SD,CORSON,031,46,2007,FUELS,"FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $",4108000
SD,CORSON,031,46,2007,INTEREST,"INTEREST - EXPENSE, MEASURED IN $",3607000
SD,CORSON,031,46,2007,INTEREST,"INTEREST, NON-REAL ESTATE - EXPENSE, MEASURED IN $",1414000
SD,CORSON,031,46,2007,INTEREST,"INTEREST, REAL ESTATE - EXPENSE, MEASURED IN $",2193000
SD,CORSON,031,46,2007,LABOR,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",189000
SD,CORSON,031,46,2007,LABOR,"LABOR, HIRED - EXPENSE, MEASURED IN $",1806000
SD,CORSON,031,46,2007,LABOR,"LABOR, HIRED, GE 150 DAYS - EXPENSE, MEASURED IN $",659000
SD,CORSON,031,46,2007,LABOR,"LABOR, HIRED, LT 150 DAYS - EXPENSE, MEASURED IN $",329000
SD,CORSON,031,46,2007,RENT,"RENT, CASH, LAND & BUILDINGS - EXPENSE, MEASURED IN $",7130000
SD,CORSON,031,46,2007,SEEDS & PLANTS TOTALS,"SEEDS & PLANTS TOTALS - EXPENSE, MEASURED IN $",1908000
SD,CORSON,031,46,2007,SUPPLIES & REPAIRS,"SUPPLIES & REPAIRS, (EXCL LUBRICANTS) - EXPENSE, MEASURED IN $",4066000
SD,CORSON,031,46,2007,TAXES,"TAXES, PROPERTY, REAL ESTATE & NON-REAL ESTATE, (EXCL PAID BY LANDLORD) - EXPENSE, MEASURED IN $",1582000
SD,CORSON,031,46,2012,AG SERVICES,"AG SERVICES, CUSTOMWORK - EXPENSE, MEASURED IN $",1552000
SD,CORSON,031,46,2012,AG SERVICES,"AG SERVICES, MACHINERY RENTAL - EXPENSE, MEASURED IN $",430000
SD,CORSON,031,46,2012,AG SERVICES,"AG SERVICES, OTHER - EXPENSE, MEASURED IN $",5126000
SD,CORSON,031,46,2012,AG SERVICES,"AG SERVICES, UTILITIES - EXPENSE, MEASURED IN $",1634000
SD,CORSON,031,46,2012,ANIMAL TOTALS,"ANIMAL TOTALS - EXPENSE, MEASURED IN $",8379000
SD,CORSON,031,46,2012,ANIMAL TOTALS,"ANIMAL TOTALS, (EXCL BREEDING) - EXPENSE, MEASURED IN $",5082000
SD,CORSON,031,46,2012,ANIMAL TOTALS,"ANIMAL TOTALS, BREEDING - EXPENSE, MEASURED IN $",3297000
SD,CORSON,031,46,2012,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",5769000
SD,CORSON,031,46,2012,DEPRECIATION,"DEPRECIATION - EXPENSE, MEASURED IN $",9147000
SD,CORSON,031,46,2012,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",82504000
SD,CORSON,031,46,2012,FEED,"FEED - EXPENSE, MEASURED IN $",12283000
SD,CORSON,031,46,2012,FERTILIZER TOTALS,"FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $",9544000
SD,CORSON,031,46,2012,FUELS,"FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $",6466000
SD,CORSON,031,46,2012,INTEREST,"INTEREST - EXPENSE, MEASURED IN $",5504000
SD,CORSON,031,46,2012,INTEREST,"INTEREST, NON-REAL ESTATE - EXPENSE, MEASURED IN $",1738000
SD,CORSON,031,46,2012,INTEREST,"INTEREST, REAL ESTATE - EXPENSE, MEASURED IN $",3766000
SD,CORSON,031,46,2012,LABOR,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",160000
SD,CORSON,031,46,2012,LABOR,"LABOR, HIRED - EXPENSE, MEASURED IN $",2640000
SD,CORSON,031,46,2012,LABOR,"LABOR, HIRED, GE 150 DAYS - EXPENSE, MEASURED IN $",911000
SD,CORSON,031,46,2012,LABOR,"LABOR, HIRED, LT 150 DAYS - EXPENSE, MEASURED IN $",472000
SD,CORSON,031,46,2012,RENT,"RENT, CASH, LAND & BUILDINGS - EXPENSE, MEASURED IN $",10758000
SD,CORSON,031,46,2012,SEEDS & PLANTS TOTALS,"SEEDS & PLANTS TOTALS - EXPENSE, MEASURED IN $",4748000
SD,CORSON,031,46,2012,SUPPLIES & REPAIRS,"SUPPLIES & REPAIRS, (EXCL LUBRICANTS) - EXPENSE, MEASURED IN $",5583000
SD,CORSON,031,46,2012,TAXES,"TAXES, PROPERTY, REAL ESTATE & NON-REAL ESTATE, (EXCL PAID BY LANDLORD) - EXPENSE, MEASURED IN $",1931000
SD,CUSTER,033,46,2007,AG SERVICES,"AG SERVICES, CUSTOMWORK - EXPENSE, MEASURED IN $",224000
SD,CUSTER,033,46,2007,AG SERVICES,"AG SERVICES, MACHINERY RENTAL - EXPENSE, MEASURED IN $",44000
SD,CUSTER,033,46,2007,AG SERVICES,"AG SERVICES, OTHER - EXPENSE, MEASURED IN $",927000
SD,CUSTER,033,46,2007,AG SERVICES,"AG SERVICES, UTILITIES - EXPENSE, MEASURED IN $",499000
SD,CUSTER,033,46,2007,ANIMAL TOTALS,"ANIMAL TOTALS - EXPENSE, MEASURED IN $",1011000
SD,CUSTER,033,46,2007,ANIMAL TOTALS,"ANIMAL TOTALS, (EXCL BREEDING) - EXPENSE, MEASURED IN $",220000
SD,CUSTER,033,46,2007,ANIMAL TOTALS,"ANIMAL TOTALS, BREEDING - EXPENSE, MEASURED IN $",792000
SD,CUSTER,033,46,2007,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",98000
SD,CUSTER,033,46,2007,DEPRECIATION,"DEPRECIATION - EXPENSE, MEASURED IN $",2856000
SD,CUSTER,033,46,2007,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",13425000
SD,CUSTER,033,46,2007,FEED,"FEED - EXPENSE, MEASURED IN $",2962000
SD,CUSTER,033,46,2007,FERTILIZER TOTALS,"FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $",122000
SD,CUSTER,033,46,2007,FUELS,"FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $",1328000
SD,CUSTER,033,46,2007,INTEREST,"INTEREST - EXPENSE, MEASURED IN $",1279000
SD,CUSTER,033,46,2007,INTEREST,"INTEREST, NON-REAL ESTATE - EXPENSE, MEASURED IN $",285000
